Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,Richmond Hill Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Richmond Hill, Georgia, USA",,,,,"11460 FORD AVE, RICHMOND HILL, GA 31324",,,Richmond Hill,,,Bryan County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.richmondhillhistoricalsociety.com,,,,,,"","","",,,,,,,,,,31324,,,,,,"","",
,Road To Tara Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Jonesboro, Georgia, USA",,,,,"104 N MAIN ST, JONESBORO, GA 30236",,,Jonesboro,,,Clayton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.atlantastruesouth.com/gone-with-wind/road-to-tara-museum/,,,,,,"","","",,,,,,,,,,30236,,,,,,"","",
,Robert C. Williams Paper Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"500 TECH PARKWAY, ATLANTA, GA 30332-0435",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://paper.gatech.edu/robert-c-williams-museum-papermaking,,,,,,"","","",,,,,,,,,,30332-0435,,,,,,"","",
,Roberts Memorial Library Museum Room,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Cochran, Georgia, USA",,,,,"1100 SECOND ST SE, COCHRAN, GA 31014",,,Cochran,,,Bleckley County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.mga.edu/library/,,,,,,"","","",,,,,,,,,,31014,,,,,,"","",
,Rock Barn Project,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Canton, Georgia, USA",,,,,,,,Canton,,,Cherokee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,1287,,,30169-1287,,,,,,"","",
,Rockdale County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Conyers, Georgia, USA",,,,,,,,Conyers,,,Rockdale County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://rockdalehistory.org/,,,,,,"","","",,,,,,,351,,,30012,,,,,,"","",
,Roopville Archive And Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Roopville, Georgia, USA",,,,,,,,Roopville,,,Carroll County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.carrollcountyhistory.org/roopville.html,,,,,,"","","",,,,,,,285,,,30170-0285,,,,,,"","",
,Roswell Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Roswell, Georgia, USA",,,,,,,,Roswell,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.roswellhistoricalsociety.org/,,,,,,"","","",,,,,,,1636,,,30077-1636,,,,,,"","",
,Royston Renaissance,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Royston, Georgia, USA",,,,,"684 FRANKLIN SPRINGS ST, ROYSTON, GA 30662-3906",,,Royston,,,Franklin County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30662-3906,,,,,,"","",
,Sacred Heart Cultural Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Augusta, Georgia, USA",,,,,"1301 GREENE ST, AUGUSTA, GA 30901-1031",,,Augusta,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.sacredheartaugusta.org,,,,,,"","","",,,,,,,,,,30901-1031,,,,,,"","",
