Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013), Source Notes, Internal Notes
,City of Griffin - Griffin-Spalding Archives,,,"historical society in Griffin, Georgia, United States",,,,,,,,Griffin,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,30224,,,,,,,
,City Of Madison,,,"historical society in Madison, Georgia, United States",,,,,,,,Madison,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,30650,,,,,,,
,"Clermont Historical Society, Inc.",,,"historical society in Clermont, Georgia, United States",,,,,,,,Clermont,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,,,30527,,,,,,,
,Coastal Georgia Historical Society,,,"historical society in St. Simons Island, Georgia, United States",,,,,,,,St. Simons Island,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21136,,,31522-0636,,,,,,,
,Coastal Heritage Society,,,"historical society in Savannah, Georgia, United States",,,,,"303 Martin Luther King, Jr. Blvd., Savannah, Georgia 31401",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.076193, -81.099719",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31401,,,,,,,
,"Cobb County Genealogical Society, Inc.",,,"historical society in Marietta, Georgia, United States",,,,,,,,Marietta,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413,,,30061-1413,,,,,,,
,Crawford County Historical Society,,,"historical society in Roberta, Georgia, United States",,,,,,,,Roberta,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,,31078,,,,,,,
,Decatur County Historical and Genealogical Society,,,"historical society in Bainbridge, Georgia, United States",,,,,,,,Bainbridge,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,,39818,,,,,,,
,Eatonton-Putnam Co. Historical Society,,,"historical society in Eatonton, Georgia, United States",,,,,"104 Church St, Eatonton, Georgia 31024-1306",,,Eatonton,,,Putnam County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.328365, -83.395948",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31024-1306,,,,,,,
,Echols County Historical Society,,,"historical society in Lake Park, Georgia, United States",,,,,"814 Bethel Church Road, Lake Park, Georgia 31636",,,Lake Park,,,Echols County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"30.650314, -83.11218",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31636,,,,,,,
,Ellaville/Schley County Historical Society,,,"historical society in Ellaville, Georgia, United States",,,,,,,,Ellaville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,31806,,,,,,,
,Emanuel County Historic Preservation Society,,,"historical society in Swainsboro, Georgia, United States",,,,,,,,Swainsboro,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,,,30401-0353,,,,,,,
,Etowah Valley Historical Society,,,"historical society in Cartersville, Georgia, United States",,,,,,,,Cartersville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886,,,30120-1682,,,,,,,
,Euharlee Historical Society,,,"historical society in Euharlee, Georgia, United States",,,,,"33 Covered Bridge Rd, Euharlee, Georgia 30145-2809",,,Euharlee,,,Bartow County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"34.1492, -84.935",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30145-2809,,,,,,,
,Evans County Historical Society,,,"historical society in Claxton, Georgia, United States",,,,,,,,Claxton,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,30417-0006,,,,,,,
,Fayette County Historical Society,,,"historical society in Fayetteville, Georgia, United States",,,,,,,,Fayetteville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,,,30214-0421,,,,,,,
,First A.M.E. Church,,,"historical society in Athens, Georgia, United States",,,,,"521 N Hull St, Athens, Georgia 30601-2603",,,Athens,,,Clarke County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.96072, -83.379239",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30601-2603,,,,,,,
,"Flannery O'Connor Home Foundation, Inc.",,,"historical society in Savannah, Georgia, United States",,,,,"207 E. Charlton Street, Savannah, Georgia 31401",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.0724, -81.091488",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31401,,,,,,,
,Friends of Towns Bluff and Heritage Center,,,"historical society in Hazlehurst, Georgia, United States",,,,,,,,Hazlehurst,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,31539-0459,,,,,,,
,Funk Heritage Center of Reinhardt University,,,"historical society in Waleska, Georgia, United States",,,,,"7300 Reinhardt Circle, Waleska, Georgia 30183-5970",,,Waleska,,,Cherokee County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"34.318734, -84.55452",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30183-5970,,,,,,,
,Georgia's Old Capital Museum Society,,,"historical society in Milledgeville, Georgia, United States",,,,,,,,Milledgeville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,,,31059-1177,,,,,,,
,"Georgia Battlefields Association, Inc.",,,"historical society in Marietta, Georgia, United States",,,,,,,,Marietta,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669953,,,30066,,,,,,,
,Georgia Genealogical Society,,,"historical society in Atlanta, Georgia, United States",,,,,,,,Atlanta,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550247,,,30355-2747,,,,,,,
,Georgia Humanities Council,,,"historical society in Atlanta, Georgia, United States",,,,,"50 Hurt Plaza SE Ste 595, Atlanta, Georgia 30303-2934",,,Atlanta,,,Fulton County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.75404, -84.387793",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30303-2934,,,,,,,
,Georgia Military Officers Association of America (GAMOAA),,,"historical society in Savannah, Georgia, United States",,,,,"8 E. Back Street, Savannah, Georgia 31419",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"31.936938, -81.15237",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31419,,,,,,,
,"Georgia Museums, Inc.",,,"historical society in Cartersville, Georgia, United States",,,,,,,,Cartersville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3188,,,30120,,,,,,,
,Georgia Southern University Museum,,,"historical society in Statesboro, Georgia, United States",,,,,,,,Statesboro,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8061,,,30460-1000,,,,,,,
,"Georgia State Society, NSDAR",,,"historical society in Gainesville, Georgia, United States",,,,,"3734 Timbre Walk Dr., Gainesville, Georgia 30506",,,Gainesville,,,Hall County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"34.362912, -83.849912",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30506,,,,,,,
,"Grady County Historical Society, Inc.",,,"historical society in Cairo, Georgia, United States",,,,,,,,Cairo,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,,,39828,,,,,,,
,Guale Historical Society,,,"historical society in St. Mary's, Georgia, United States",,,,,"128 Chelsea Pl, St. Mary's, Georgia 31558",,,St. Mary's,,,Camden County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"30.722352, -81.555896",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31558,,,,,,,
,Gwinnett Historical Society,,,"historical society in Lawrenceville, Georgia, United States",,,,,,,,Lawrenceville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,30046-0261,,,,,,,
,Habersham County Historical Society,,,"historical society in Cornelia, Georgia, United States",,,,,,,,Cornelia,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,,,30531,,,,,,,
,Historical Society Of Cumming/Forsyth County,,,"historical society in Cumming, Georgia, United States",,,,,,,,Cumming,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334,,,30028-1334,,,,,,,
,Historical Society Of Walton County,,,"historical society in Monroe, Georgia, United States",,,,,,,,Monroe,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1733,,,30655-6733,,,,,,,
,"Historic Augusta, Inc.",,,"historical society in Augusta, Georgia, United States",,,,,,,,Augusta,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,30903-0037,,,,,,,
,Historic Columbus Foundation,,,"historical society in Columbus, Georgia, United States",,,,,,,,Columbus,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312,,,31906-0312,,,,,,,
,Historic Dorchester Academy,,,"historical society in Midway, Georgia, United States",,,,,,,,Midway,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,31320,,,,,,,
,Historic Effingham Society,,,"historical society in Springfield, Georgia, United States",,,,,,,,Springfield,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,31329-0999,,,,,,,
,Historic Linwood Foundation,,,"historical society in Columbus, Georgia, United States",,,,,,,,Columbus,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057,,,31902-1057,,,,,,,
,Historic Oglethorpe County,,,"historical society in Lexington, Georgia, United States",,,,,,,,Lexington,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,30648-0307,,,,,,,
,Historic Rural Churches of Georgia,,,"historical society in Atlanta, Georgia, United States",,,,,"1185 Springdale Road, Atlanta, Georgia 30306",,,Atlanta,,,DeKalb County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.78728, -84.335577",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30306,,,,,,,
,"Historic Westville, Inc.",,,"historical society in Columbus, Georgia, United States",,,,,,,,Columbus,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3442,,,31903,,,,,,,
,Independent Presbyterian Church,,,"historical society in Savannah, Georgia, United States",,,,,,,,Savannah,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9266,,,31412-9266,,,,,,,
,Lake Park Area Historical Society,,,"historical society in Lake Park, Georgia, United States",,,,,,,,Lake Park,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,,,31636-0803,,,,,,,
,"Lanier County Historical Society, Inc.",,,"historical society in Lakeland, Georgia, United States",,,,,"49 W Main St, Lakeland, Georgia 31635-6834",,,Lakeland,,,Lanier County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"31.040895, -83.074982",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31635-6834,,,,,,,
,"Lincoln County Historical Society, Inc.",,,"historical society in Lincolnton, Georgia, United States",,,,,,,,Lincolnton,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,,,30817,,,,,,,
,"Lower Altamaha Historical Society, Inc.",,,"historical society in Darien, Georgia, United States",,,,,"Attn: Treasurer, Darien, Georgia 31305-1405",,,Darien,,,McIntosh County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"31.413831, -81.369263",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,1405,,,31305-1405,,,,,,,
,Macon County Historical Society,,,"historical society in Montezuma, Georgia, United States",,,,,,,,Montezuma,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,,,31063-0571,,,,,,,
,Marble Valley Friends,,,"historical society in Tate, Georgia, United States",,,,,,,,Tate,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,30177-0002,,,,,,,
,Metropolitan Planning Commission,,,"historical society in Savannah, Georgia, United States",,,,,"110 E State St, Savannah, Georgia 31401-3715",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.077932, -81.090585",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31401-3715,,,,,,,
,"Midway Museum, Inc.",,,"historical society in Midway, Georgia, United States",,,,,,,,Midway,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,31320,,,,,,,
,National Society of the Colonial Dames Of America - GA,,,"historical society in Savannah, Georgia, United States",,,,,"329 Abercorn St, Savannah, Georgia 31401-4634",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.072995, -81.09245",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31401-4634,,,,,,,
,Oak Hill & Martha Berry Museum,,,"historical society in Mt. Berry, Georgia, United States",,,,,,,,Mt. Berry,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,30149,,,,,,,
,Ossabaw Island Foundation,,,"historical society in Savannah, Georgia, United States",,,,,"13040 Abercorn Street, Suite 20, Savannah, Georgia 31419",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"31.979483, -81.168295",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31419,,,,,,,
