Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013), Source Notes, Internal Notes
,"Solomon's Lodge No. 1, F. & A.M.",,,"historical society in Savannah, Georgia, United States",,,,,,,,Savannah,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,,,31402,,,,,,,
,St. John's Church,,,"historical society in Savannah, Georgia, United States",,,,,"1 W Macon St, Savannah, Georgia 31401",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.073613, -81.094818",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31401,,,,,,,
,"Stone Rangers, Inc.",,,"historical society in Flowery Branch, Georgia, United States",,,,,"6760 Gaines Ferry Road, Flowery Branch, Georgia 30542",,,Flowery Branch,,,Hall County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"34.183356, -83.983481",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30542,,,,,,,
,Sumter Historic Trust,,,"historical society in Americus, Georgia, United States",,,,,,,,Americus,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,,,31709-0961,,,,,,,
,Susie King Taylor Women's Institute and Ecology Center,,,"historical society in Midway, Georgia, United States",,,,,"226 Gloucester Drive, Midway, Georgia 31320",,,Midway,,,Liberty County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"31.797801, -81.438140","https://www.google.com/maps/place/31°47'52.1""N+81°26'17.3""W/@31.797801,-81.4386872,19z/",2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31320,,,,,,,
,T. R. R. Cobb House,,,"historical society in Athens, Georgia, United States",,,,,"175 Hill St, Athens, Georgia 30601-2419",,,Athens,,,Clarke County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.960225, -83.385199",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30601-2419,,,,,,,
,Taliaferro County Historical Society,,,"historical society in Crawfordville, Georgia, United States",,,,,,,,Crawfordville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,30631-0032,,,,,,,
,Tattnall County Archives,,,"historical society in Reidsville, Georgia, United States",,,,,,,,Reidsville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,30453,,,,,,,
,Terrell County Historic Preservation Society,,,"historical society in Dawson, Georgia, United States",,,,,,,,Dawson,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,,,39842-0063,,,,,,,
,The Columbus Museum,,,"historical society in Columbus, Georgia, United States",,,,,"1251 Wynnton Rd, Columbus, Georgia 31906-2899",,,Columbus,,,Muscogee County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.46713, -84.974276",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31906-2899,,,,,,,
,The Georgia Salzburger Society,,,"historical society in Rincon, Georgia, United States",,,,,"2980 Ebenezer Rd, Rincon, Georgia 31326-3716",,,Rincon,,,Effingham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.374017, -81.181906",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31326-3716,,,,,,,
,"The McDaniel-Tichenor House, Inc.",,,"historical society in Monroe, Georgia, United States",,,,,"319 McDaniel Street, Monroe, Georgia 30655",,,Monroe,,,Walton County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.791328, -83.714411",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30655,,,,,,,
,The Salvation Army Southern Historical Center,,,"historical society in Atlanta, Georgia, United States",,,,,"1032 Metropolitan Pkwy SW, Atlanta, Georgia 30310-3488",,,Atlanta,,,Fulton County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.727166, -84.4078",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30310-3488,,,,,,,
,Thomaston Upson Archives,,,"historical society in Thomaston, Georgia, United States",,,,,,,,Thomaston,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137,,,30286-0015,,,,,,,
,Thomasville History Center,,,"historical society in Thomasville, Georgia, United States",,,,,"725 N Dawson St, Thomasville, Georgia 31792-4452",,,Thomasville,,,Thomas County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"30.84582, -83.984704",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31792-4452,,,,,,,
,Thronateeska Heritage Center,,,"historical society in Albany, Georgia, United States",,,,,"100 W Roosevelt Ave, Albany, Georgia 31701-2325",,,Albany,,,Dougherty County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"31.581865, -84.150285",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31701-2325,,,,,,,
,Thunderbolt Museum Society,,,"historical society in Savannah, Georgia, United States",,,,,"2702 Mechanics Ave, Savannah, Georgia 31404",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.034226, -81.053069",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31404,,,,,,,
,Upson Historical Society,,,"historical society in Thomaston, Georgia, United States",,,,,,,,Thomaston,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,,,30286-0005,,,,,,,
,Washington County Historical Society,,,"historical society in Sandersville, Georgia, United States",,,,,,,,Sandersville,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6088,,,31082-6088,,,,,,,
,Washington-Wilkes Historical Foundation,,,"historical society in Washington, Georgia, United States",,,,,,,,Washington,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,30673,,,,,,,
,"Watson-Brown Foundation,Inc.",,,"historical society in Thomson, Georgia, United States",,,,,"310 Tom Watson Way, Thomson, Georgia 30824-1836",,,Thomson,,,McDuffie County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.469449, -82.507988",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30824-1836,,,,,,,
,Whitfield-Murray Historical Society,,,"historical society in Dalton, Georgia, United States",,,,,,,,Dalton,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180,,,30722,,,,,,,
,Wilkinson County Historical Society,,,"historical society in Gordon, Georgia, United States",,,,,,,,Gordon,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,,,31031-0476,,,,,,,
,Woodward Academy/GMA Archives,,,"historical society in College Park, Georgia, United States",,,,,"1662 Rugby Ave, College Park, Georgia 30337-2199",,,College Park,,,Fulton County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.662995, -84.44415",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30337-2199,,,,,,,
,Worth County Historical Society,,,"historical society in Sylvester, Georgia, United States",,,,,"1831 Georgia Hwy 112 S, Sylvester, Georgia 31791-3747",,,Sylvester,,,Worth County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"31.502511, -83.848217",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31791-3747,,,,,,,
