Org Code,Organization Name
0197,Mechanicsville Branch
0198,Metropolitan Branch
0199,Milton Branch
0200,Northeast/Spruill Oaks Branch
0201,Northside Branch
0202,Northwest Branch at Scotts Crossing
0203,Ocee Branch
0204,Palmetto Branch
0205,Peachtree Branch
0206,Ponce de Leon Branch
0207,Roswell Branch
0208,Sandy Springs Branch
0209,South Fulton Branch
0210,Southeast Atlanta Branch
0211,Southwest Branch
0212,Washington Park Branch
0213,West End Branch
0214,Wolf Creek Branch
0215,Appleby Branch Library
0216,Augusta-Richmond County Public Library
0217,Diamond Lakes Branch Library
0218,Friedman Branch Library
0219,Jeff Maxwell Branch Library
0220,Wallace Branch Library
0221,Adairsville Public Library
0222,Cartersville Main Street Library
0223,Emmie Nelson Library
0224,Mary Willis Library
0225,Taliaferro County Library
0226,Thomson-McDuffie County Library
0227,Brooks County Public Library
0228,Catoosa County Library at Benton Place Campus
0229,Columbus Public Library
0230,Cusseta - Chattahoochee Public Library
0231,Marion County Library
0232,Mildred L. Terry Branch Library
0233,North Columbus Branch Library
0234,Parks Memorial Public Library
0235,South Columbus Branch Library
0236,Chattooga County Library
0237,Trion Public Library
0238,Chickamauga Public Library
0239,Dade County Library
0240,LaFayette-Walker County Public Library
0241,Rossville Public library
0242,Chestatee Regional Satellite Library
0243,Dawson County Library
0244,Lumpkin County Library
0245,Clayton County Headquarters Library
0246,Jonesboro Library
0247,Lovejoy Library
0248,Morrow Library
0249,Northeast Clayton/Forest Park Library
0250,Riverdale Library
0251,Carrie Dorsey Perry Memorial Library
0252,Coastal Plain Headquarters Library
0253,Cook County Library
0254,Fitzgerald-Ben Hill County Library
0255,Irwin County Library
0256,Tifton-Tift County Public Library
0257,Victoria Evans Memorial Library
0258,Acworth Library
0259,"Central Library, Cobb Co. PLS"
0260,East Cobb Library
0261,East Marietta Library
0262,Gritters Library
0263,Hattie G. Wilson Library
0264,Kemp Memorial Library
0265,Kennesaw Library
0266,Lewis A Ray Library
0267,Mountain View Regional Library
0268,Powder Springs Library
0269,Sibley Library
0270,South Cobb Library
0271,Stratton Library
0272,Sweetwater Valley Library
0273,Vinings Library
0274,West Cobb Regional Library
0275,Nancy Guinn Memorial Library
0276,A. Mitchell Powell Jr. Branch
0277,Central Library--Coweta
0278,Grantville Branch
0279,Senoia Branch
0280,Brookhaven Library
0281,Chamblee Library
0282,Clarkston Library
0283,Covington Library
0284,Decatur Library
0285,Doraville Library
0286,Dunwoody Library
0287,Embry Hills Library
0288,Flat Shoals Library
0289,Gresham Library
0290,Hairston Crossing Library
0291,Lithonia-Davidson Library
0292,Northlake-Barbara Loar Branch
0293,Redan-Trotti Branch
0294,Salem-Panola Library
0295,Scott Candler Library
0296,Scottdale-Tobie Grant Library
0297,Stone Mountain-Sue Kellogg Library
0298,Stonecrest Library
0299,Toco Hill-Avis G. Williams Library
0300,Tucker-Reid H. Cofer Library
0301,Wesley Chapel-William C. Brown Library
0302,Baker County Library
0303,DeSoto Trail Regional Library
0304,Jakin Public Library
0305,Lucy Maddox Memorial Library
0306,Pelham Carnegie Library
0307,Sale City Public Library
0308,"Central Library, Dougherty Co. PLS"
0309,Northwest Library
0310,Southside Branch Library
0311,Tallulah Massey Library
0312,Westtown Library
0313,Bowman Branch
0314,Elbert County Public Library
0315,Barnesville-Lamar County Library
0316,Fayette County Public Library
0317,Griffin-Spalding County Library
0318,J. Joel Edwards Public Library
0319,Jackson-Butts County Public Library
0320,Monroe County Library
0321,Peachtree City Library
0322,Tyrone Public Library
0323,Cumming Branch & Headquarters
0324,Hampton Park Library
0325,Post Road Library
0326,Sharon Forks Library
0327,Burke County Library
0328,Columbia County Library
0329,Euchee Creek Library
0330,Harlem Library
0331,Lincoln County Library
0332,Midville Library
0333,Sardis County Library
0334,Warren County Library
0335,Buford-Sugar Hill Branch
0336,Centerville Branch
0337,Collins Hill Branch
0338,Dacula Branch
0339,Duluth Branch
0340,Elizabeth H. Williams Branch (Snellville)
0341,Five Forks
0342,Grayson Branch
0343,Hamilton Mill Branch
0344,Library Headquarters and Lawrenceville Branch
0345,Lilburn Branch
0346,Mountain Park Branch
0347,Norcross Branch
0348,Peachtree Corners Branch
0349,Suwanee Branch Library
0350,North Hall Technology Center Branch
0351,Blackshear Place Branch
0352,Gainesville Library
0353,Murrayville Branch
0354,Spout Springs Branch
0355,Hart County Library
0356,Cochran Public Library
0357,Fairview Public Library
0358,Fortson Public Library
0359,Locust Grove Public Library
0360,McDonough Public Library
0361,Centerville Branch Library
0362,Nola Brantley Memorial Library
0363,Perry Public Library
0364,Louisville Public Library
0365,McCollum Public Library
0366,Wadley Public Library
0367,Calhoun County Library
0368,Clay County Library
0369,Quitman County Library
0370,Randolph County Library
0371,Terrell County Public Library
0372,Webster County Library
0373,Byromville Public Library
0374,Cordele-Crisp Carnegie Library
0375,Dooly County Library
0376,Elizabeth Harris Library
0377,Lake Blackshear Headquarters Library
0378,Schley County Library
0379,Leesburg Library
0380,Oakland Library
0381,Redbone Library
0382,Smithville Library
0383,Bull Street Library
0384,Carnegie Library
0385,Forest City Library
0386,Garden City Library
0387,Hinesville Library
0388,Islands Library
0389,Midway-Riceboro Library
0390,Oglethorpe Mall Library
0391,Pooler Library
0392,Port City Library
0393,Rincon Library
0394,Southwest Chatham Library
0395,Springfield Library
0396,Tybee Library
0397,W W Law Library
0398,West Broad Library
0399,Brunswick-Glynn County Library
0400,St. Simons Island Public Library
0401,Charles A Lanford Library
0402,Crawford County Public Library
0403,East Wilkinson County Public Library
0404,Gordon Public Library
0405,Ideal Public Library
0406,Jones County Public Library
0407,Marshallville Public Library
0408,Montezuma Public Library
0409,Oglethorpe Public Library
0410,Riverside Branch
0411,Shurling Branch
0412,Twiggs County Public Library
0413,Washington Memorial Library
0414,Doerun Municipal Library
0415,Moultrie-Colquitt County Library
0416,Fannin County Public Library
0417,Mountain Regional Library
0418,Towns County Public Library
0419,Union County Public Library
0420,Covington Branch Library
0421,Newton County Newborn Branch
0422,Porter Memorial Branch Library
0423,Clarkesville-Habersham County Library
0424,Cornelia-Habersham Co. Lib.
0425,Rabun Co. Public Library
0426,Toccoa-Stephens Co. Lib.
0427,White Co. Lib.-Cleveland Branch
0428,White Co. Lib.-Helen Branch
0429,Calhoun-Gordon County Library
0430,Chatsworth-Murray County Library
0431,Dalton-Whitfield County Public Library
0432,M. E. Roden Memorial Library
0433,Murrell Memorial Library (Dodge County Library)
0434,Telfair County Library
0435,Tessie W. Norris/Cochran-Bleckley County Library
0436,Wheeler County Library
0437,Wilcox County Library
0438,Glascock County Library
0439,Harlie Fulford Memorial Library
0440,Laurens County Library
0441,Rosa M. Tarbutton Memorial Library
0442,Treutlen County Library
0443,Glennville Public Library
0445,Jeff Davis Public Library
0446,Ladson Genealogy Library
0447,Montgomery County Library
0448,Nelle Brown Memorial Library
0449,Tattnall County Library
0450,Vidalia-Toombs County Library
0451,Alma-Bacon County Public Library
0452,Appling County Public Library
0453,Clinch County Public Library
0454,Pierce County Public Library
0455,Waycross-Ware County Public Library
0456,Byron Public Library
0457,Thomas Public Library
0458,Auburn Public Library
0459,Banks County Public Library
0460,Braselton Library
0461,Commerce Public Library
0462,Harold S. Swindle Public Library
0463,Jefferson Public Library
0464,Maysville Public Library
0465,Statham Public Library
0466,Talmo Public Library
0467,Winder Library
0468,Butler Public Library
0469,Greenville Area Public Library
0470,Hightower Memorial Library
0471,Manchester Public Library
0472,Reynolds Community Library
0473,Talbot County Library
0474,Yatesville Public Library
0475,Roddenbery Memorial Library
0476,Cave Spring Library
0477,Cedartown Library
0478,Rockmart Library
0479,Rome/Floyd County Library
0480,Ambrose Public Library
0481,Broxton Public Library
0482,Douglas-Coffee County Public Library
0483,Nicholls Public Library
0484,Pearson Public Library
0485,Willacoochee Public Library
0486,Jenkins County Memorial Library
0487,Screven County Library
0488,Ball Ground Public Library
0489,Cherokee County Law Library
0490,Gilmer County Public Library
0491,Hickory Flat Public Library
0492,Pickens County Public Library
0493,R.T. Jones Memorial Library
0494,Rose Creek Public Library
0495,Woodstock Public Library
0496,Allen Statenville Library
0497,Johnston Lakes Library
0498,McMullen Southside Library
0499,Miller Lakeland Library
0500,Salter Hahira Library
0501,Valdosta-Lowndes County Library
0502,Decatur County-Gilbert H. Gragg Library
0503,"James W. Merritt, Jr. Memorial Library"
0504,Seminole County Public Library
0505,Evans County Public Library
0506,Franklin Memorial Library
0507,L. C. Anderson Memorial Library
0508,Pembroke Public Library
0509,Richmond Hill Public Library
0510,Statesboro-Bulloch County Library
0511,Boston Carnegie Library
0512,Coolidge Public Library
0513,Gladys M. Clark Public Library
0514,Meigs Public Library
0515,Pavo Public Library
0516,Thomas County Public Library
0517,Brantley County Library
0518,Camden County Public Library
0519,"Charlton Public Library, Inc."
0520,Hog Hammock Public Library
0521,Ida Hilton Public Library
0522,Long County Public Library
0523,St. Marys Public Library
0524,Wayne County Library
0525,Harris County Public Library
0526,Hogansville Public Library
0527,LaGrange Memorial Library
0528,Lake Sinclair Library
0529,Mary Vinson Memorial Library
0530,Eatonton-Putnam County Library
0531,Greene County Library
0532,Hancock County Library
0533,Jasper County Library
0534,Monroe-Walton County Library
0535,Morgan County Library
0536,O'Kelly Memorial Library
0537,W. H. Stanton Memorial Library
0538,Walnut Grove Library
0539,Buchanan-Haralson County Public Library
0540,Centralhatchee Public Library
0541,Crossroads Public Library
0542,Dallas Public Library
0543,Dog River Public Library
0544,Douglas County Public Library
0545,Ephesus Public Library
0546,Heard County Public Library
0547,Lithia Springs Public Library
0548,Maude P. Ragsdale Library
0549,Mt. Zion Public Library
0550,Neva Lomason Memorial Library
0551,New Georgia Public Library
0552,Ruth Holder Public Library
0553,Tallapoosa Public Library
0554,Villa Rica Public Library
0555,Warren P. Sewell Memorial Library-Bowdon
0556,Warren P. Sewell Memorial Library-Bremen
0557,Whitesburg Public Library
0558,Sylvester-Margaret Jones Library
